week,commencing,drinks,average_score,beverage_ml,alcohol_ml,units,dry_days,estimated
2018-W39,2018-09-24,2,4.62,660,36,3.6,5,*
2018-W40,2018-10-01,7,4.04,2704,151.4,15.1,3,
2018-W41,2018-10-08,17,3.99,4979,286.2,28.6,3,*
2018-W42,2018-10-15,3,3.42,898,50.7,5.1,5,
2018-W43,2018-10-22,2,3.75,629,38.1,3.8,5,
2018-W44,2018-10-29,7,3.46,2003,101.9,10.2,3,
2018-W45,2018-11-05,9,4.08,3276,189.5,19,3,
2018-W46,2018-11-12,9,3.78,3121,147,14.7,1,
2018-W47,2018-11-19,10,3.58,3584,168.2,16.8,1,*
2018-W48,2018-11-26,8,3.78,3336,155.1,15.5,1,
2018-W49,2018-12-03,0,,0,0,0,7,
2018-W50,2018-12-10,3,3.92,1008,69.6,7,5,
2018-W51,2018-12-17,5,3.95,1448,66.2,6.6,3,*
